study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,,mean BD,median BD
Vincent_and_Dionne_2023,Webhannet,Webhannet6,single set of methods,10,15,Webhannet6-15,0.836151337,0.08316311,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet6,single set of methods,15,20,Webhannet6-20,0.757976607,0.090587368,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet7,single set of methods,0,5,Webhannet7-5,0.716800605,0.070613009,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet7,single set of methods,5,10,Webhannet7-10,0.544935551,0.035936241,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet7,single set of methods,10,15,Webhannet7-15,0.579746181,0.042614459,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet7,single set of methods,15,20,Webhannet7-20,0.865292807,0.081285439,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet8,single set of methods,0,5,Webhannet8-5,0.821331954,0.073912476,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet8,single set of methods,5,10,Webhannet8-10,0.788411044,0.064895892,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet8,single set of methods,10,15,Webhannet8-15,0.780155952,0.072806104,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet8,single set of methods,15,20,Webhannet8-20,1.090070019,0.080170596,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet9,single set of methods,0,5,Webhannet9-5,0.897418046,0.074420682,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet9,single set of methods,5,10,Webhannet9-10,0.952617759,0.073687823,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet9,single set of methods,10,15,Webhannet9-15,1.308879694,0.105214368,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet9,single set of methods,15,20,Webhannet9-20,0.942075111,0.085165578,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet10,single set of methods,0,5,Webhannet10-5,0.887671069,0.068373177,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet10,single set of methods,5,10,Webhannet10-10,0.649069064,0.027702852,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet10,single set of methods,10,15,Webhannet10-15,0.859922024,0.049312065,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet10,single set of methods,15,20,Webhannet10-20,0.539763686,0.024022321,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet11,single set of methods,0,5,Webhannet11-5,0.352581954,0.036245504,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet11,single set of methods,5,10,Webhannet11-10,0.362826225,0.033531428,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet11,single set of methods,10,15,Webhannet11-15,0.419318905,0.046276073,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet11,single set of methods,15,20,Webhannet11-20,0.378739656,0.029172555,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet12,single set of methods,0,5,Webhannet12-5,0.339254456,0.026172874,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet12,single set of methods,5,10,Webhannet12-10,0.312301082,0.022495981,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet12,single set of methods,10,15,Webhannet12-15,0.442990134,0.042781732,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet12,single set of methods,15,20,Webhannet12-20,0.43015993,0.030809822,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet13,single set of methods,0,5,Webhannet13-5,1.156707511,0.102904643,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet13,single set of methods,5,10,Webhannet13-10,1.190424093,0.10350768,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet13,single set of methods,10,15,Webhannet13-15,1.21230506,0.096209015,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet13,single set of methods,15,20,Webhannet13-20,1.311067791,0.12672426,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet14,single set of methods,0,5,Webhannet14-5,0.946749682,0.106520043,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet14,single set of methods,5,10,Webhannet14-10,1.113940165,0.117042313,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet14,single set of methods,10,15,Webhannet14-15,1.00155156,0.090583553,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet14,single set of methods,15,20,Webhannet14-20,1.127168205,0.105607624,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet15,single set of methods,0,5,Webhannet15-5,0.521761617,0.049787433,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet15,single set of methods,5,10,Webhannet15-10,0.643499363,0.055503169,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet15,single set of methods,10,15,Webhannet15-15,0.568109484,0.061874463,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet15,single set of methods,15,20,Webhannet15-20,0.674331636,0.084172746,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet16,single set of methods,0,5,Webhannet16-5,0.647477721,0.071562813,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet16,single set of methods,5,10,Webhannet16-10,0.639719924,0.075260861,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet16,single set of methods,10,15,Webhannet16-15,0.750318269,0.095964674,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet16,single set of methods,15,20,Webhannet16-20,0.576563495,0.052098852,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet17,single set of methods,0,5,Webhannet17-5,0.487647199,0.04442521,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet17,single set of methods,5,10,Webhannet17-10,0.505251432,0.047941571,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet17,single set of methods,10,15,Webhannet17-15,0.642305856,0.077908895,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet17,single set of methods,15,20,Webhannet17-20,0.786123488,0.095222888,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet18,single set of methods,0,5,Webhannet18-5,0.54026098,0.045112835,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet18,single set of methods,5,10,Webhannet18-10,0.538072884,0.035022535,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet18,single set of methods,10,15,Webhannet18-15,0.585216423,0.049779358,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet18,single set of methods,15,20,Webhannet18-20,0.677613781,0.058195193,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet19,single set of methods,0,5,Webhannet19-5,1.148054583,0.123424689,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet19,single set of methods,5,10,Webhannet19-10,0.831277849,0.074910039,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet19,single set of methods,10,15,Webhannet19-15,0.830780554,0.057636368,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet19,single set of methods,15,20,Webhannet19-20,0.767325748,0.052607166,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet20,single set of methods,0,5,Webhannet20-5,0.779957034,0.067016716,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet20,single set of methods,5,10,Webhannet20-10,0.824116805,0.065199613,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet20,single set of methods,10,15,Webhannet20-15,0.839433482,0.065620354,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet20,single set of methods,15,20,Webhannet20-20,1.002844526,0.095982291,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet21,single set of methods,0,5,Webhannet21-5,0.30404599,0.031331278,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet21,single set of methods,5,10,Webhannet21-10,0.350891152,0.037868499,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet21,single set of methods,10,15,Webhannet21-15,0.363224061,0.037084738,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet21,single set of methods,15,20,Webhannet21-20,0.404201146,0.039252141,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet22,single set of methods,0,5,Webhannet22-5,0.659313335,0.072216609,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet22,single set of methods,5,10,Webhannet22-10,0.417130808,0.033189141,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet22,single set of methods,10,15,Webhannet22-15,0.446670115,0.043781197,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet22,single set of methods,15,20,Webhannet22-20,0.391868237,0.031259417,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet23,single set of methods,0,5,Webhannet23-5,0.94784373,0.122922546,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet23,single set of methods,5,10,Webhannet23-10,0.881305697,0.074711911,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet23,single set of methods,10,15,Webhannet23-15,0.886179185,0.079857436,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet23,single set of methods,15,20,Webhannet23-20,0.855545831,0.076499064,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet24,single set of methods,0,5,Webhannet24-5,0.92616168,0.075550758,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet24,single set of methods,5,10,Webhannet24-10,0.975891152,0.069498362,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet24,single set of methods,10,15,Webhannet24-15,1.123488224,0.081020097,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet24,single set of methods,15,20,Webhannet24-20,1.132141152,0.085303169,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet25,single set of methods,0,5,Webhannet25-5,0.978377626,0.082017583,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet25,single set of methods,5,10,Webhannet25-10,0.4442831,0.043675388,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet25,single set of methods,10,15,Webhannet25-15,0.391868237,0.03636051,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet25,single set of methods,15,20,Webhannet25-20,0.661401973,0.075647206,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet26,single set of methods,0,5,Webhannet26-5,0.421904838,0.036892693,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet26,single set of methods,5,10,Webhannet26-10,0.4837683,0.048993036,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet26,single set of methods,10,15,Webhannet26-15,0.445078771,0.037658086,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet26,single set of methods,15,20,Webhannet26-20,0.520070815,0.044237978,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet27,single set of methods,0,5,Webhannet27-5,0.417528644,0.032793075,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet27,single set of methods,5,10,Webhannet27-10,0.382817473,0.027215505,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet27,single set of methods,10,15,Webhannet27-15,0.616247613,0.064724033,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet27,single set of methods,15,20,Webhannet27-20,0.618236792,0.062636666,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet28,single set of methods,0,5,Webhannet28-5,0.38500557,0.026458545,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet28,single set of methods,5,10,Webhannet28-10,0.447963081,0.036211545,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet28,single set of methods,10,15,Webhannet28-15,0.603715786,0.060020322,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet28,single set of methods,15,20,Webhannet28-20,0.43672422,0.033066644,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet29,single set of methods,0,5,Webhannet29-5,0.658716582,0.051817158,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet29,single set of methods,5,10,Webhannet29-10,0.67114895,0.057529751,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet29,single set of methods,10,15,Webhannet29-15,0.716601687,0.063515739,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet29,single set of methods,15,20,Webhannet29-20,0.617938415,0.053298483,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet30,single set of methods,0,5,Webhannet30-5,0.665977085,0.061164284,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet30,single set of methods,5,10,Webhannet30-10,0.795174252,0.074076767,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet30,single set of methods,10,15,Webhannet30-15,0.854750159,0.069760482,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet30,single set of methods,15,20,Webhannet30-20,0.979770051,0.082616798,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet31,single set of methods,0,5,Webhannet31-5,0.631066996,0.047316395,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet31,single set of methods,5,10,Webhannet31-10,0.783537556,0.068386259,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet31,single set of methods,10,15,Webhannet31-15,0.634746976,0.045515092,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet31,single set of methods,15,20,Webhannet31-20,0.554583068,0.036278212,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet32,single set of methods,0,5,Webhannet32-5,0.917210376,0.073654811,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet32,single set of methods,5,10,Webhannet32-10,1.059635582,0.10477921,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet32,single set of methods,10,15,Webhannet32-15,1.002844526,0.097717171,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet32,single set of methods,15,20,Webhannet32-20,0.896622374,0.076783326,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet33,single set of methods,0,5,Webhannet33-5,0.378142903,0.022932099,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet33,single set of methods,5,10,Webhannet33-10,0.779857575,0.079365135,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet33,single set of methods,10,15,Webhannet33-15,0.671944621,0.064976024,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet33,single set of methods,15,20,Webhannet33-20,0.666076544,0.061885854,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet34,single set of methods,0,5,Webhannet34-5,0.487348822,0.036919644,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet34,single set of methods,5,10,Webhannet34-10,0.693925048,0.073283621,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet34,single set of methods,10,15,Webhannet34-15,0.596355824,0.057052683,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet34,single set of methods,15,20,Webhannet34-20,0.955303151,0.093084739,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet35,single set of methods,0,5,Webhannet35-5,0.397537397,0.02119547,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet35,single set of methods,5,10,Webhannet35-10,0.605903883,0.052384888,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet35,single set of methods,10,15,Webhannet35-15,0.547223106,0.045581925,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet35,single set of methods,15,20,Webhannet35-20,0.472827817,0.030505717,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet36,single set of methods,0,5,Webhannet36-5,0.447963081,0.022045477,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet36,single set of methods,5,10,Webhannet36-10,0.356063017,0.014677681,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet36,single set of methods,10,15,Webhannet36-15,0.615352482,0.03934962,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet36,single set of methods,15,20,Webhannet36-20,0.736891311,0.045078446,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet37,single set of methods,0,5,Webhannet37-5,0.682586728,0.061791475,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet37,single set of methods,5,10,Webhannet37-10,0.901197486,0.083063819,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet37,single set of methods,10,15,Webhannet37-15,1.121896881,0.136965663,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet37,single set of methods,15,20,Webhannet37-20,1.353437301,0.139468769,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet38,single set of methods,0,5,Webhannet38-5,0.534392903,0.039630563,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet38,single set of methods,5,10,Webhannet38-10,0.731023234,0.06746899,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet38,single set of methods,10,15,Webhannet38-15,0.726746499,0.062743096,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet38,single set of methods,15,20,Webhannet38-20,0.591482336,0.042050041,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet39,single set of methods,0,5,Webhannet39-5,0.440901496,0.029939681,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet39,single set of methods,5,10,Webhannet39-10,0.353278167,0.017486208,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet39,single set of methods,10,15,Webhannet39-15,0.512710853,0.027482102,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet39,single set of methods,15,20,Webhannet39-20,0.558362508,0.032974149,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet40,single set of methods,0,5,Webhannet40-5,0.891251591,0.092282931,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet40,single set of methods,5,10,Webhannet40-10,0.87822247,0.091042601,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet40,single set of methods,10,15,Webhannet40-15,0.78125,0.084022661,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet40,single set of methods,15,20,Webhannet40-20,0.533995067,0.032818867,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet41,single set of methods,0,5,Webhannet41-5,0.604113622,0.051758793,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet41,single set of methods,5,10,Webhannet41-10,0.596853119,0.057911479,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet41,single set of methods,10,15,Webhannet41-15,0.566219764,0.044007506,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet41,single set of methods,15,20,Webhannet41-20,0.552096595,0.040446558,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet42,single set of methods,0,5,Webhannet42-5,0.419915659,0.035046539,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet42,single set of methods,5,10,Webhannet42-10,0.455621419,0.034348247,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet42,single set of methods,10,15,Webhannet42-15,0.472231063,0.038696092,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet42,single set of methods,15,20,Webhannet42-20,0.624801082,0.053967375,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet43,single set of methods,0,5,Webhannet43-5,0.455024666,0.035570275,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet43,single set of methods,5,10,Webhannet43-10,0.542250159,0.049711814,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet43,single set of methods,10,15,Webhannet43-15,0.521662158,0.04398793,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet43,single set of methods,15,20,Webhannet43-20,0.574375398,0.047089675,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet44,single set of methods,0,5,Webhannet44-5,0.396144971,0.023410514,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet44,single set of methods,5,10,Webhannet44-10,0.416633514,0.023874809,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet44,single set of methods,10,15,Webhannet44-15,0.383812062,0.02049489,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet44,single set of methods,15,20,Webhannet44-20,0.494012572,0.034070866,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet45,single set of methods,0,5,Webhannet45-5,0.843113463,0.085628711,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet45,single set of methods,5,10,Webhannet45-10,0.762253342,0.060648921,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet45,single set of methods,10,15,Webhannet45-15,0.915420115,0.087011818,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet45,single set of methods,15,20,Webhannet45-20,1.271383673,0.124459855,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet46,single set of methods,0,5,Webhannet46-5,0.72575191,0.075506067,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet46,single set of methods,5,10,Webhannet46-10,0.678111076,0.064511137,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet46,single set of methods,10,15,Webhannet46-15,0.565026257,0.039545674,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet46,single set of methods,15,20,Webhannet46-20,0.579646722,0.037208236,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet47,single set of methods,0,5,Webhannet47-5,0.54125557,0.048574625,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet47,single set of methods,5,10,Webhannet47-10,0.386994749,0.02534696,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet47,single set of methods,10,15,Webhannet47-15,0.286441757,0.011854162,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet47,single set of methods,15,20,Webhannet47-20,0.402112508,0.022682604,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet48,single set of methods,0,5,Webhannet48-5,0.532204806,0.029111435,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet48,single set of methods,5,10,Webhannet48-10,0.914226607,0.09586955,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet48,single set of methods,10,15,Webhannet48-15,0.73420592,0.067370119,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet48,single set of methods,15,20,Webhannet48-20,0.800743953,0.082184491,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet49,single set of methods,0,5,Webhannet49-5,0.692333705,0.079873078,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet49,single set of methods,5,10,Webhannet49-10,0.656329567,0.059441519,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet49,single set of methods,10,15,Webhannet49-15,0.532403724,0.039308781,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet49,single set of methods,15,20,Webhannet49-20,0.5666176,0.041023695,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet50,single set of methods,0,5,Webhannet50-5,0.496797422,0.051132389,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet50,single set of methods,5,10,Webhannet50-10,0.51201464,0.045487442,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet50,single set of methods,10,15,Webhannet50-15,0.534293444,0.053757338,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet50,single set of methods,15,20,Webhannet50-20,0.560749523,0.050231898,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet51,single set of methods,0,5,Webhannet51-5,1.0203493,0.150662762,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet51,single set of methods,5,10,Webhannet51-10,1.10598345,0.098210252,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet51,single set of methods,10,15,Webhannet51-15,0.545731222,0.035365132,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet51,single set of methods,15,20,Webhannet51-20,0.482674252,0.027757465,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet52,single set of methods,0,5,Webhannet52-5,0.515992998,0.027259407,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet52,single set of methods,5,10,Webhannet52-10,0.234723106,0.009267007,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet52,single set of methods,10,15,Webhannet52-15,0.424590229,0.024641927,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet52,single set of methods,15,20,Webhannet52-20,0.61465627,0.035022153,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet53,single set of methods,0,5,Webhannet53-5,0.789306174,0.096099634,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet53,single set of methods,5,10,Webhannet53-10,0.682686187,0.067449308,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet53,single set of methods,10,15,Webhannet53-15,0.557069542,0.040605802,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet53,single set of methods,15,20,Webhannet53-20,0.648372852,0.047154991,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet54,single set of methods,0,5,Webhannet54-5,0.769613304,0.078449586,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet54,single set of methods,5,10,Webhannet54-10,0.736592934,0.064803402,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet54,single set of methods,10,15,Webhannet54-15,0.556174411,0.037540229,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet54,single set of methods,15,20,Webhannet54-20,0.616744908,0.10386771,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet55,single set of methods,0,5,Webhannet55-5,0.687659134,0.039237726,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet55,single set of methods,5,10,Webhannet55-10,0.851269096,0.060379776,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet55,single set of methods,10,15,Webhannet55-15,0.87255331,0.055903486,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet55,single set of methods,15,20,Webhannet55-20,0.932527053,0.050819274,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet56,single set of methods,0,5,Webhannet56-5,0.622016232,0.029096041,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet56,single set of methods,5,10,Webhannet56-10,0.678807288,0.038787906,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet56,single set of methods,10,15,Webhannet56-15,0.682288351,0.036155585,,,
