Station ID,Group,Sample Date (mm/dd/yyyy),Sample Depth (cm),Wet Soil pH (pH units),Dry Soil pH (pH units),Soil Specific Conductance (uS/cm),Soil Salinity (ppt),Soil Moisture Content (%),Bulk Density (g/cm3),Organic Matter (%),Wet Volume (cm3),Dry Volume (cm3),Biomass Target Flora Species,Belowground Live Biomass (g/m2),Belowground Dead Biomass (g/m2),Organic Density (g/cm3),Total Carbon (g/kg),Carbon Density (mg/cm3),Total Nitrogen (g/kg),Total Phosphorus (mg/kg),Sand (%),Silt (%),Clay (%),Particle Size Mean (phi),Particle Size Median (phi),Particle Size Standard Deviation (phi),Radiometric Dating Method and Units,Isotope Concentration,Organization,Personnel,Comments,Latitude,Longitude
CRMS0220-S02,,6/13/2006,16 to 20,6.15,5.52,7985.00,4.45,83.69,0.1800,33.13,324.29,79.45,,,,0.0596,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56516002,-90.06901502
CRMS0220-S02,,6/13/2006,20 to 24,6.02,5.19,8460.00,4.70,84.77,0.1300,36.97,324.29,58.79,,,,0.0481,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56516002,-90.06901502
CRMS0220-S03,,6/13/2006,0 to 4,6.71,6.41,6510.00,3.50,65.08,0.1700,33.78,324.29,86.29,,,,0.0574,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56516070,-90.06904595
CRMS0220-S03,,6/13/2006,4 to 8,6.41,6.00,7810.00,4.30,78.54,0.2000,37.13,324.29,93.45,,,,0.0743,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56516070,-90.06904595
CRMS0220-S03,,6/13/2006,8 to 12,5.49,5.04,7015.00,3.85,79.37,0.2100,35.37,324.29,86.12,,,,0.0743,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56516070,-90.06904595
CRMS0220-S03,,6/13/2006,12 to 16,5.33,4.93,7335.00,4.05,78.71,0.2100,34.97,324.29,87.72,,,,0.0734,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56516070,-90.06904595
CRMS0220-S03,,6/13/2006,16 to 20,5.22,4.72,6790.00,3.70,81.16,0.2000,35.21,324.29,81.28,,,,0.0704,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56516070,-90.06904595
CRMS0220-S03,,6/13/2006,20 to 24,5.41,4.79,6770.00,3.70,82.41,0.1700,35.26,324.29,75.54,,,,0.0599,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56516070,-90.06904595
CRMS0220-S04,,4/18/2018,0 to 4,,,,,84.35,0.1400,42.52,324.29,78.68,,,,0.0595,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56501981,-90.06879210
CRMS0220-S04,,4/18/2018,4 to 8,,,,,84.57,0.1500,43.16,324.29,64.39,,,,0.0647,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56501981,-90.06879210
CRMS0220-S04,,4/18/2018,8 to 12,,,,,85.98,0.1400,45.85,324.29,53.76,,,,0.0642,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56501981,-90.06879210
CRMS0220-S04,,4/18/2018,12 to 16,,,,,84.53,0.1600,42.85,324.29,45.70,,,,0.0686,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56501981,-90.06879210
CRMS0220-S04,,4/18/2018,16 to 20,,,,,82.49,0.1600,45.63,324.29,78.28,,,,0.0730,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56501981,-90.06879210
CRMS0220-S04,,4/18/2018,20 to 24,,,,,84.73,0.1600,56.35,324.29,45.33,,,,0.0902,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56501981,-90.06879210
CRMS0220-S05,,4/18/2018,0 to 4,,,,,85.76,0.1400,45.04,324.29,51.28,,,,0.0631,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56491793,-90.06867125
CRMS0220-S05,,4/18/2018,4 to 8,,,,,79.79,0.2200,29.41,324.29,44.07,,,,0.0647,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56491793,-90.06867125
CRMS0220-S05,,4/18/2018,8 to 12,,,,,75.30,0.2600,24.32,324.29,69.49,,,,0.0632,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56491793,-90.06867125
CRMS0220-S05,,4/18/2018,12 to 16,,,,,83.47,0.1800,39.92,324.29,26.23,,,,0.0719,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56491793,-90.06867125
CRMS0220-S05,,4/18/2018,16 to 20,,,,,83.62,0.1300,45.39,324.29,105.96,,,,0.0590,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56491793,-90.06867125
CRMS0220-S05,,4/18/2018,20 to 24,,,,,85.33,0.1700,38.52,324.29,5.47,,,,0.0655,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56491793,-90.06867125
CRMS0220-S06,,4/18/2018,0 to 4,,,,,85.75,0.0900,48.90,324.29,142.06,,,,0.0440,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56486294,-90.06863157
CRMS0220-S06,,4/18/2018,4 to 8,,,,,82.40,0.1600,37.51,324.29,76.33,,,,0.0600,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56486294,-90.06863157
CRMS0220-S06,,4/18/2018,8 to 12,,,,,76.23,0.2300,29.43,324.29,85.75,,,,0.0677,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56486294,-90.06863157
CRMS0220-S06,,4/18/2018,12 to 16,,,,,71.93,0.2500,24.20,324.29,112.64,,,,0.0605,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56486294,-90.06863157
CRMS0220-S06,,4/18/2018,16 to 20,,,,,75.94,0.2500,25.03,324.29,70.65,,,,0.0626,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56486294,-90.06863157
CRMS0220-S06,,4/18/2018,20 to 24,,,,,82.45,0.1900,37.19,324.29,41.69,,,,0.0707,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"S. Anderson, G. Parkes, D. Plaisance",Spartina patens is dominant species. 13 cm of water on marsh.,29.56486294,-90.06863157

